flavor_name,flavor_cat
APPLE SHOT,APPLE
GRAPE SHOT,PUNCH
MACHINE GUN MELON,MACHINE GUN MELON
SING SING SOUR GRAPE,SING SING SOUR GRAPE
CICER BLDY BLDY ORNG,CICER BLDY BLDY ORNG
PRISON BRK BLCKCHRRY,PRISON BRK BLCKCHRRY
SCARFACE SOR RSPBRRY,SCARFACE SOR RSPBRRY
PEACH SHOT,PEACH
SYNDICATE CTY SR PCH,SYNDICATE CTY SR PCH
PLANTERS PUNCH,PUNCH
DOS A RITA,DOS A RITA
ORIGINAL OKTOBERFEST,ORIGINAL OKTOBERFEST
CHEVALLIER,CHEVALLIER
VIRGINIA APPLE,APPLE
STRAWMAN,STRAWMAN
APPLE GINGER,APPLE
ELDERFLOWER,ELDERFLOWER
ICEMAN,ICEMAN
TRADITIONAL DRY,TRADITIONAL DRY
STRAWBERRY LIME,CRANBERRY
JOKER HARD CIDER,JOKER HARD CIDER
EXTRA CRISP APPLE,APPLE
DRY HOPPED,DRY HOP
MAGIC APPLE,APPLE
UNIFIED PRESS,UNIFIED PRESS
FOUR SCREW,FOUR SCREW
CITRUS & JUNIPR BRRY,CITRUS
THE BAD APPLE,APPLE
GOLD APPLE,APPLE
HONEY AND APPLE,APPLE
CHERRY BOMB,CHERRY
CLASSIC,CLASSIC
CHERRY TREE,CHERRY
ELDERBERRY,ELDERBERRY
PROVIDENCE,PROVIDENCE
DELIVERANCE GNGR TNC,DELIVERANCE GINGER
DELIVERANCE GINGER,DELIVERANCE GINGER
HALLELUJAH HOPRICOT,HALLELUJAH HOPRICOT
REVELATIN NWTWN PPPN,REVELATIN NWTWN PPPN
APRICOT PEAR,APRICOT
BLACKBERRY PEAR,BERRY
PACIFIC PEAR,PACIFIC PEAR
POMEGRANATE AND PEAR,POMEGRANATE
PEAR NAKED,PEAR NAKED
PUMPKIN SPICE,PUMPKIN
CLIFFBREAKS BLEND,CLIFFBREAKS BLEND
SPUR AND VINE,SPUR AND VINE
APPLE AND CHERRY,APPLE AND CHERRY
BLOSSOM NECTAR,BLOSSOM NECTAR
FROST,FROST
TIETON BLEND,TIETON BLEND
WILD WASHINGTON APPL,WILD WASHINGTON APPL
YAKIMA VLLY DRY HPPD,YAKIMA VLLY DRY HPPD
BLUE GOLD,BLUE GOLD
HARD APPLE,APPLE
TOTALLY ROASTED,TOTALLY ROASTED
BLOOM,BLOOM
DRY HOP,DRY HOP
MALTA,MALTA
ORANGE WHEAT,ORANGE
APPLE POMEGRANAT MMS,POMEGRANATE
OATMEAL,OATMEAL
CITRUS CRANBERRY,CITRUS
STRAWBERRY PASSION,PASSION FRUIT
MILD,MILD
WHITE CHOCOLATE,CHOCOLATE
GLACIER,GLACIER
